,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
0,2019-03-12,40681.80078125,42272.69921875,40681.80078125,42272.69921875,2123957,0.0,0.0,0.0
1,2019-03-13,42272.69921875,42454.5,42000.0,42000.0,1102079,0.0,0.0,0.0
2,2019-03-14,42000.0,42272.69921875,41818.19921875,42045.5,586828,0.0,0.0,0.0
3,2019-03-15,42045.5,42090.8984375,41590.8984375,41818.19921875,1146024,0.0,0.0,0.0
4,2019-03-18,42090.8984375,42227.30078125,41772.69921875,42000.0,1093488,0.0,0.0,0.0
5,2019-03-19,42000.0,42090.8984375,41545.5,41545.5,1006192,0.0,0.0,0.0
6,2019-03-20,41454.5,41727.30078125,41136.3984375,41318.19921875,876997,0.0,0.0,0.0
7,2019-03-21,41636.3984375,41636.3984375,41000.0,41000.0,908314,0.0,0.0,0.0
8,2019-03-22,41000.0,41272.69921875,40954.5,40954.5,756459,0.0,0.0,0.0
9,2019-03-25,40181.80078125,40909.1015625,40181.80078125,40363.6015625,696872,0.0,0.0,0.0
10,2019-03-26,40909.1015625,40909.1015625,40454.5,40681.80078125,424732,0.0,0.0,0.0
11,2019-03-27,40727.30078125,41000.0,40727.30078125,40909.1015625,647944,0.0,0.0,0.0
12,2019-03-28,40681.80078125,41227.30078125,40681.80078125,41045.5,398596,0.0,0.0,0.0
13,2019-03-29,41454.5,41454.5,41181.80078125,41363.6015625,491425,0.0,0.0,0.0
14,2019-04-01,41727.30078125,41727.30078125,41363.6015625,41636.3984375,360250,0.0,0.0,0.0
15,2019-04-02,41636.3984375,42454.5,41636.3984375,41818.19921875,1489928,0.0,0.0,0.0
16,2019-04-03,42181.80078125,42909.1015625,41818.19921875,42909.1015625,1137510,0.0,0.0,0.0
17,2019-04-04,43181.80078125,43818.19921875,42954.5,43454.5,1887743,0.0,0.0,0.0
18,2019-04-05,43454.5,43545.5,43136.3984375,43454.5,676720,0.0,0.0,0.0
19,2019-04-08,43318.19921875,43636.3984375,43136.3984375,43454.5,497926,0.0,0.0,0.0
20,2019-04-09,43454.5,44090.8984375,43000.0,43000.0,1112848,0.0,0.0,0.0
21,2019-04-10,42727.30078125,43000.0,42500.0,42636.3984375,804210,0.0,0.0,0.0
22,2019-04-11,42636.3984375,43181.80078125,42590.8984375,42727.30078125,395901,0.0,0.0,0.0
23,2019-04-12,42590.8984375,44000.0,42590.8984375,43818.19921875,962599,0.0,0.0,0.0
24,2019-04-15,43818.19921875,43818.19921875,43818.19921875,43818.19921875,0,0.0,0.0,0.0
25,2019-04-16,43181.80078125,43818.19921875,43181.80078125,43545.5,997700,0.0,0.0,0.0
26,2019-04-17,43909.1015625,45000.0,43818.19921875,44090.8984375,2155483,0.0,0.0,0.0
27,2019-04-18,44090.8984375,44772.69921875,43681.80078125,44090.8984375,1073523,0.0,0.0,0.0
28,2019-04-22,44090.8984375,44090.8984375,43454.5,43545.5,908699,0.0,0.0,0.0
29,2019-04-23,43545.5,44045.5,43181.80078125,43545.5,604340,0.0,0.0,0.0
30,2019-04-24,44090.8984375,44227.30078125,43727.30078125,44136.3984375,940643,0.0,0.0,0.0
31,2019-04-25,44090.8984375,44681.80078125,44045.5,44363.6015625,1067726,0.0,0.0,0.0
32,2019-04-26,44454.5,45227.30078125,44363.6015625,45045.5,951445,0.0,0.0,0.0
33,2019-04-29,45045.5,45045.5,45045.5,45045.5,0,0.0,0.0,0.0
34,2019-04-30,45045.5,45045.5,45045.5,45045.5,0,0.0,0.0,0.0
35,2019-05-01,45045.5,45045.5,45045.5,45045.5,0,0.0,0.0,0.0
36,2019-05-02,45272.69921875,45636.3984375,45136.3984375,45318.19921875,973522,0.0,0.0,0.0
37,2019-05-03,45363.6015625,45454.5,45090.8984375,45454.5,1165527,0.0,0.0,0.0
38,2019-05-06,44545.5,44909.1015625,44045.5,44318.19921875,1600654,0.0,0.0,0.0
39,2019-05-07,44636.3984375,45181.80078125,44590.8984375,45181.80078125,1204368,0.0,0.0,0.0
40,2019-05-08,44818.19921875,45181.80078125,44545.5,45136.3984375,1054922,0.0,0.0,0.0
41,2019-05-09,45090.8984375,45136.3984375,44181.80078125,44181.80078125,947034,0.0,0.0,0.0
42,2019-05-10,44545.5,44772.69921875,44318.19921875,44545.5,1130613,0.0,0.0,0.0
43,2019-05-13,44545.5,45272.69921875,44545.5,45000.0,935594,0.0,0.0,0.0
44,2019-05-14,44909.1015625,46181.80078125,44636.3984375,45636.3984375,1716913,0.0,0.0,0.0
45,2019-05-15,45909.1015625,46000.0,45545.5,45818.19921875,1693934,0.0,0.0,0.0
46,2019-05-16,45818.19921875,46090.8984375,45136.3984375,45136.3984375,2288460,0.0,0.0,0.0
47,2019-05-17,45000.0,45000.0,44300.0,44450.0,1487590,0.0,0.0,0.0
48,2019-05-20,44500.0,45300.0,44500.0,45250.0,1792130,0.0,0.0,0.0
49,2019-05-21,45500.0,46050.0,45350.0,45900.0,1016530,0.0,0.0,0.0
50,2019-05-22,45950.0,46150.0,45250.0,45250.0,1563650,0.0,0.0,0.0
51,2019-05-23,45250.0,45800.0,45200.0,45700.0,1267520,0.0,0.0,0.0
52,2019-05-24,45500.0,45950.0,45250.0,45600.0,1014750,0.0,0.0,0.0
53,2019-05-28,45000.0,45400.0,44750.0,44850.0,518470,0.0,0.0,0.0
54,2019-05-29,44850.0,44850.0,44000.0,44100.0,1505300,0.0,0.0,0.0
55,2019-05-30,44100.0,44700.0,43900.0,44550.0,986450,0.0,0.0,0.0
56,2019-05-31,44600.0,44800.0,44100.0,44100.0,611860,0.0,0.0,0.0
57,2019-06-03,44000.0,44100.0,43500.0,43500.0,881810,0.0,0.0,0.0
58,2019-06-04,43500.0,43700.0,43250.0,43300.0,537160,0.0,0.0,0.0
59,2019-06-05,43500.0,43900.0,43500.0,43600.0,500100,0.0,0.0,0.0
60,2019-06-06,43800.0,44700.0,43600.0,44500.0,922740,0.0,0.0,0.0
61,2019-06-07,44800.0,45250.0,44700.0,45200.0,1304680,0.0,0.0,0.0
62,2019-06-10,45500.0,45700.0,44800.0,45100.0,1227340,0.0,0.0,0.0
63,2019-06-11,45100.0,45600.0,44900.0,45200.0,1296500,0.0,0.0,0.0
64,2019-06-12,45200.0,45600.0,45000.0,45050.0,1284520,0.0,0.0,0.0
65,2019-06-13,45050.0,45100.0,44500.0,44550.0,856270,0.0,0.0,0.0
66,2019-06-14,44600.0,44900.0,44400.0,44400.0,559800,0.0,0.0,0.0
67,2019-06-17,44100.0,44500.0,43900.0,44050.0,1013550,0.0,0.0,0.0
68,2019-06-18,44350.0,44450.0,43750.0,44050.0,763680,0.0,0.0,0.0
69,2019-06-19,44300.0,44700.0,44200.0,44650.0,530820,0.0,0.0,0.0
70,2019-06-20,44850.0,45400.0,44650.0,45400.0,1356030,0.0,0.0,0.0
71,2019-06-21,45500.0,45600.0,45250.0,45400.0,872460,0.0,0.0,0.0
72,2019-06-24,45400.0,45450.0,45150.0,45150.0,726160,0.0,0.0,0.0
73,2019-06-25,45000.0,46550.0,44800.0,46500.0,3269450,0.0,0.0,0.0
74,2019-06-26,46500.0,46500.0,46100.0,46150.0,1014470,0.0,0.0,0.0
75,2019-06-27,46050.0,46100.0,45300.0,45400.0,1221860,0.0,0.0,0.0
76,2019-06-28,45400.0,46000.0,44900.0,45500.0,2479220,0.0,0.0,0.0
77,2019-07-01,46000.0,47100.0,45900.0,47100.0,2551280,0.0,0.0,0.0
78,2019-07-02,47000.0,47500.0,46650.0,46900.0,1600280,0.0,0.0,0.0
79,2019-07-03,46700.0,46900.0,46550.0,46800.0,1275860,0.0,0.0,0.0
80,2019-07-05,46800.0,47000.0,46400.0,46600.0,1137770,0.0,0.0,0.0
81,2019-07-08,46500.0,46900.0,46050.0,46300.0,1303050,0.0,0.0,0.0
82,2019-07-09,46300.0,46850.0,46100.0,46750.0,992570,0.0,0.0,0.0
83,2019-07-10,46950.0,47450.0,46800.0,47050.0,1281980,0.0,0.0,0.0
84,2019-07-11,47150.0,47250.0,46800.0,47000.0,854140,0.0,0.0,0.0
85,2019-07-12,47100.0,47450.0,46800.0,47000.0,1241970,0.0,0.0,0.0
86,2019-07-15,46950.0,47550.0,46850.0,47300.0,1176060,0.0,0.0,0.0
87,2019-07-16,47350.0,47800.0,47250.0,47300.0,1160000,0.0,0.0,0.0
88,2019-07-17,47300.0,47500.0,47000.0,47050.0,1292630,0.0,0.0,0.0
89,2019-07-18,47000.0,47100.0,46800.0,46800.0,1035440,0.0,0.0,0.0
90,2019-07-19,46950.0,48300.0,46900.0,48200.0,2811560,0.0,0.0,0.0
91,2019-07-22,48200.0,48650.0,47950.0,48350.0,1755780,0.0,0.0,0.0
92,2019-07-23,48500.0,48800.0,48100.0,48800.0,948550,0.0,0.0,0.0
93,2019-07-24,49350.0,49400.0,48600.0,48600.0,1952770,0.0,0.0,0.0
94,2019-07-25,48600.0,48600.0,48600.0,48600.0,0,0.0,0.0,0.0
95,2019-07-26,48600.0,48600.0,48600.0,48600.0,0,0.0,0.0,0.0
96,2019-07-29,48600.0,48600.0,48600.0,48600.0,0,0.0,0.0,0.0
97,2019-07-30,48600.0,48600.0,48600.0,48600.0,0,0.0,0.0,0.0
98,2019-07-31,47800.0,48400.0,47500.0,48400.0,1111880,0.0,0.0,0.0
99,2019-08-01,48400.0,48600.0,48200.0,48350.0,965060,0.0,0.0,0.0
100,2019-08-02,48050.0,49000.0,47850.0,48800.0,1451900,0.0,0.0,0.0
101,2019-08-05,49000.0,49800.0,48800.0,49000.0,2322100,0.0,0.0,0.0
102,2019-08-06,49000.0,49000.0,49000.0,49000.0,0,0.0,0.0,0.0
103,2019-08-07,49000.0,49750.0,48950.0,49750.0,1246410,0.0,0.0,0.0
104,2019-08-08,49850.0,50600.0,49850.0,50300.0,2085510,0.0,0.0,0.0
105,2019-08-09,50300.0,51400.0,50000.0,51100.0,1751680,0.0,0.0,0.0
106,2019-08-12,51100.0,52600.0,50700.0,52300.0,1817920,0.0,0.0,0.0
107,2019-08-13,52100.0,53200.0,51700.0,52500.0,2237980,0.0,0.0,0.0
108,2019-08-14,53000.0,53700.0,52800.0,53200.0,2205370,0.0,0.0,0.0
109,2019-08-15,51900.0,53000.0,51400.0,53000.0,2223880,0.0,0.0,0.0
110,2019-08-16,53000.0,55100.0,52000.0,52000.0,4531020,0.0,0.0,0.0
111,2019-08-19,52000.0,52700.0,51200.0,52400.0,2849780,0.0,0.0,0.0
112,2019-08-20,52400.0,54000.0,52400.0,54000.0,2277750,0.0,0.0,0.0
113,2019-08-21,54100.0,54500.0,53400.0,53600.0,1808020,0.0,0.0,0.0
114,2019-08-22,53600.0,54300.0,52900.0,53000.0,1892640,0.0,0.0,0.0
115,2019-08-23,53100.0,54400.0,52600.0,54400.0,1868200,0.0,0.0,0.0
116,2019-08-26,53500.0,54200.0,53500.0,53700.0,1756160,0.0,0.0,0.0
117,2019-08-27,54000.0,54300.0,52800.0,52800.0,1566370,0.0,0.0,0.0
118,2019-08-28,53000.0,53200.0,52100.0,52100.0,1537860,0.0,0.0,0.0
119,2019-08-29,52200.0,52800.0,51900.0,52700.0,972940,0.0,0.0,0.0
120,2019-08-30,53000.0,53400.0,52900.0,53100.0,708360,0.0,0.0,0.0
121,2019-09-03,53000.0,54000.0,53000.0,53700.0,1360230,0.0,0.0,0.0
122,2019-09-04,53700.0,54200.0,53000.0,53200.0,1655300,0.0,0.0,0.0
123,2019-09-05,53400.0,53500.0,52600.0,52600.0,1243680,0.0,0.0,0.0
124,2019-09-06,52900.0,53200.0,52300.0,52900.0,1142710,0.0,0.0,0.0
125,2019-09-09,53000.0,54400.0,52500.0,53800.0,2507800,0.0,0.0,0.0
126,2019-09-10,54200.0,54400.0,53600.0,54000.0,1731610,0.0,0.0,0.0
127,2019-09-11,54000.0,54200.0,53400.0,54100.0,1179670,0.0,0.0,0.0
128,2019-09-12,54400.0,56500.0,54400.0,56500.0,3799910,0.0,0.0,0.0
129,2019-09-13,56500.0,57400.0,56300.0,56800.0,2123900,0.0,0.0,0.0
130,2019-09-16,56900.0,58000.0,56700.0,57700.0,1339560,0.0,0.0,0.0
131,2019-09-17,57300.0,58100.0,57100.0,57600.0,1194690,0.0,0.0,0.0
