,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
0,2019-03-12,93.64157442575697,93.80170659022303,93.64157442575697,93.76612091064453,477300,0.0,0.0,0.0
1,2019-03-13,93.73942578189775,93.8194884640316,93.73942578189775,93.79280090332031,471700,0.0,0.0,0.0
2,2019-03-14,93.78387437282917,93.837256265352,93.71270304097992,93.73049926757812,639400,0.0,0.0,0.0
3,2019-03-15,93.82838228301243,93.93513252096875,93.78389849234829,93.89065551757812,1218600,0.0,0.0,0.0
4,2019-03-18,93.88174753290275,93.90843508958636,93.85505997621914,93.89954376220703,495200,0.0,0.0,0.0
5,2019-03-19,93.86394955477691,93.95291033138972,93.86394955477691,93.87284088134766,613500,0.0,0.0,0.0
6,2019-03-20,93.90843114077458,94.21090594077319,93.90843114077458,94.1308364868164,762500,0.0,0.0,0.0
7,2019-03-21,94.14863054203737,94.20200565192809,94.12194298709201,94.16641998291016,620200,0.0,0.0,0.0
8,2019-03-22,94.37104060739392,94.60233728668122,94.33545493659447,94.47779083251953,616100,0.0,0.0,0.0
9,2019-03-25,94.51334703909707,94.68237722588164,94.45997194317377,94.55783081054688,715300,0.0,0.0,0.0
10,2019-03-26,94.55785711447227,94.72688734827734,94.47778766104317,94.68240356445312,930100,0.0,0.0,0.0
11,2019-03-27,94.78025495950364,94.86031761932526,94.70018551241007,94.73577117919922,787900,0.0,0.0,0.0
12,2019-03-28,94.70018768310547,94.7357733507103,94.63791446161504,94.70018768310547,566700,0.0,0.0,0.0
13,2019-03-29,94.60231333357537,94.64679710762965,94.54893823452703,94.62010955810547,726400,0.0,0.0,0.0
14,2019-04-01,94.48725073169048,94.51400646244134,94.23752150520095,94.28211212158203,2078800,0.271,0.0,0.0
15,2019-04-02,94.32669331568007,94.38020476797631,94.29993758953196,94.34452819824219,1122300,0.0,0.0,0.0
16,2019-04-03,94.29102269560981,94.56750762273279,94.25534612362453,94.26426696777344,1378800,0.0,0.0,0.0
17,2019-04-04,94.28209590235994,94.34452819824219,94.25534017621183,94.34452819824219,607400,0.0,0.0,0.0
18,2019-04-05,94.36238057138526,94.46940348809743,94.36238057138526,94.45156860351562,738100,0.0,0.0,0.0
19,2019-04-08,94.45158901193123,94.47834474689046,94.3713150024414,94.3713150024414,490400,0.0,0.0,0.0
20,2019-04-09,94.43372635682746,94.4783237749347,94.38021489878729,94.42481231689453,4388500,0.0,0.0,0.0
21,2019-04-10,94.48723007871013,94.58533893975944,94.46938839236867,94.56749725341797,805800,0.0,0.0,0.0
22,2019-04-11,94.52293549009273,94.54969122315975,94.48725891113281,94.48725891113281,1645500,0.0,0.0,0.0
23,2019-04-12,94.43373593405855,94.46049847040346,94.29103642994232,94.29995727539062,1053600,0.0,0.0,0.0
24,2019-04-15,94.29996864408751,94.3713150024414,94.29104779756373,94.3713150024414,1026300,0.0,0.0,0.0
25,2019-04-16,94.2731790636712,94.29994159556614,94.21074676513672,94.21074676513672,898300,0.0,0.0,0.0
26,2019-04-17,94.26424117530281,94.32667345804182,94.23748545478732,94.27315521240234,686000,0.0,0.0,0.0
27,2019-04-18,94.24642583799606,94.38021128258109,94.24642583799606,94.29102325439453,499500,0.0,0.0,0.0
28,2019-04-22,94.29991452338217,94.29991452338217,94.22856140136719,94.22856140136719,514500,0.0,0.0,0.0
29,2019-04-23,94.23749806558318,94.30884439496921,94.23749806558318,94.25533294677734,624700,0.0,0.0,0.0
30,2019-04-24,94.38021642337873,94.4337278822833,94.36238153861412,94.3891372680664,971900,0.0,0.0,0.0
31,2019-04-25,94.40696161517631,94.45155902902601,94.34452931855272,94.39804077148438,530100,0.0,0.0,0.0
32,2019-04-26,94.57642919240377,94.59426407622804,94.52291773632051,94.5853500366211,614100,0.0,0.0,0.0
33,2019-04-29,94.53184662180715,94.55860235405066,94.44265857945828,94.49617004394531,686200,0.0,0.0,0.0
34,2019-04-30,94.48720871985148,94.54964099871461,94.45153215984283,94.53179931640625,732600,0.0,0.0,0.0
35,2019-05-01,94.55151398767961,94.81080501009968,94.47104788838027,94.59622192382812,928800,0.262,0.0,0.0
36,2019-05-02,94.53362583007443,94.57832694045793,94.42633088650321,94.47103881835938,815500,0.0,0.0,0.0
37,2019-05-03,94.56044120169013,94.66772931623349,94.54255530161811,94.64090728759766,1620300,0.0,0.0,0.0
38,2019-05-06,94.71245413299827,94.75716206967795,94.67668914794922,94.67668914794922,431600,0.0,0.0,0.0
39,2019-05-07,94.75713478255142,94.8197217829958,94.73924888444077,94.7481918334961,522800,0.0,0.0,0.0
40,2019-05-08,94.8376179226017,94.86443995312197,94.65879983815132,94.69456481933594,2057800,0.0,0.0,0.0
41,2019-05-09,94.75715264372695,94.82867578523692,94.65880064999394,94.7303237915039,424300,0.0,0.0,0.0
42,2019-05-10,94.8107876087178,94.90913959301454,94.74820060248096,94.82866668701172,765200,0.0,0.0,0.0
43,2019-05-13,94.9091563075318,94.99856535769145,94.89127040461592,94.953857421875,777100,0.0,0.0,0.0
44,2019-05-14,94.9449050588713,95.00749206542969,94.93596210894235,95.00749206542969,483900,0.0,0.0,0.0
45,2019-05-15,95.0968822776921,95.13264724885677,95.01640938720391,95.11476135253906,481400,0.0,0.0,0.0
46,2019-05-16,95.09692984501129,95.09692984501129,95.02539986690277,95.06116485595703,672400,0.0,0.0,0.0
47,2019-05-17,95.0969205961517,95.0969205961517,94.9538606538483,95.025390625,617600,0.0,0.0,0.0
48,2019-05-20,94.98959999084634,95.01642201741753,94.88231188456164,94.90913391113281,753500,0.0,0.0,0.0
49,2019-05-21,94.93597753099722,94.9627995636691,94.88233346565346,94.91809844970703,473000,0.0,0.0,0.0
50,2019-05-22,94.9538314568865,95.04324730406879,94.9448953293454,95.01641845703125,447200,0.0,0.0,0.0
51,2019-05-23,95.03431879493574,95.27572388318227,95.03431879493574,95.2042007446289,519000,0.0,0.0,0.0
52,2019-05-24,95.2220806373739,95.25784561769234,95.1952586075032,95.23995971679688,433100,0.0,0.0,0.0
53,2019-05-28,95.25785827636719,95.30255939160112,95.22209329129599,95.25785827636719,587100,0.0,0.0,0.0
54,2019-05-29,95.31150346673707,95.4813854424594,95.29362438472742,95.33832550048828,1191600,0.0,0.0,0.0
55,2019-05-30,95.44558538336261,95.53499440350248,95.33829046631219,95.49922943115234,1352300,0.0,0.0,0.0
56,2019-05-31,95.63336214018248,95.71383504660646,95.5081881270537,95.67807006835938,868500,0.0,0.0,0.0
57,2019-06-03,95.76052574225714,95.98460036090326,95.76052574225714,95.92185974121094,872700,0.262,0.0,0.0
58,2019-06-04,95.95774365827258,96.02048429833678,95.7964096069336,95.7964096069336,977000,0.0,0.0,0.0
59,2019-06-05,95.83221435546875,95.92184281947274,95.79636160222445,95.83221435546875,1683600,0.0,0.0,0.0
60,2019-06-06,95.912912700212,95.94876546390056,95.79638950867032,95.87705993652344,742100,0.0,0.0,0.0
61,2019-06-07,96.0025284908973,96.07423400878906,95.92185807371544,96.07423400878906,721700,0.0,0.0,0.0
