,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,2019-03-12,91200.0,92600.0,90900.0,92300.0,864570,0.0,0.0
1,2019-03-13,92600.0,96000.0,92500.0,94000.0,1654850,0.0,0.0
2,2019-03-14,94300.0,94600.0,92800.0,94000.0,708190,0.0,0.0
3,2019-03-15,94000.0,94000.0,92500.0,93300.0,2496760,0.0,0.0
4,2019-03-18,94000.0,94900.0,94000.0,94300.0,1056390,0.0,0.0
5,2019-03-19,95000.0,95200.0,93500.0,94000.0,1100900,0.0,0.0
6,2019-03-20,93100.0,93400.0,91000.0,92200.0,1061950,0.0,0.0
7,2019-03-21,93000.0,93000.0,88200.0,88200.0,1009930,0.0,0.0
8,2019-03-22,89000.0,91200.0,88000.0,91100.0,957080,0.0,0.0
9,2019-03-25,89500.0,89500.0,87500.0,89000.0,793070,0.0,0.0
10,2019-03-26,90000.0,90700.0,89500.0,89900.0,617980,0.0,0.0
11,2019-03-27,91000.0,91000.0,89900.0,90100.0,389620,0.0,0.0
12,2019-03-28,90300.0,93300.0,90000.0,93100.0,894540,0.0,0.0
13,2019-03-29,94000.0,94300.0,91500.0,91500.0,1054060,0.0,0.0
14,2019-04-01,92400.0,93800.0,91800.0,92400.0,334480,0.0,0.0
15,2019-04-02,93400.0,93700.0,92000.0,92200.0,359690,0.0,0.0
16,2019-04-03,92200.0,92200.0,91100.0,92000.0,281350,0.0,0.0
17,2019-04-04,92700.0,92800.0,91300.0,92000.0,489550,0.0,0.0
18,2019-04-05,92500.0,93200.0,92100.0,92600.0,454260,0.0,0.0
19,2019-04-08,93000.0,94600.0,92700.0,94600.0,657320,0.0,0.0
20,2019-04-09,95000.0,96000.0,93000.0,93800.0,973210,0.0,0.0
21,2019-04-10,93800.0,93800.0,92300.0,92500.0,328400,0.0,0.0
22,2019-04-11,92800.0,93800.0,92200.0,93500.0,233360,0.0,0.0
23,2019-04-12,93400.0,93600.0,92000.0,93300.0,299590,0.0,0.0
24,2019-04-15,93300.0,93300.0,93300.0,93300.0,0,0.0,0.0
25,2019-04-16,90000.0,91900.0,87800.0,91000.0,913790,0.0,0.0
26,2019-04-17,91000.0,91900.0,89700.0,89800.0,761350,0.0,0.0
27,2019-04-18,89900.0,90500.0,88100.0,89000.0,609680,0.0,0.0
28,2019-04-22,89700.0,90000.0,88600.0,90000.0,211620,0.0,0.0
29,2019-04-23,89700.0,90000.0,88900.0,89000.0,494910,0.0,0.0
30,2019-04-24,89700.0,90200.0,89700.0,89700.0,629420,0.0,0.0
31,2019-04-25,89500.0,90200.0,89400.0,90200.0,680080,0.0,0.0
32,2019-04-26,90200.0,92000.0,89900.0,92000.0,1070350,0.0,0.0
33,2019-04-29,92000.0,92000.0,92000.0,92000.0,0,0.0,0.0
34,2019-04-30,92000.0,92000.0,92000.0,92000.0,0,0.0,0.0
35,2019-05-01,92000.0,92000.0,92000.0,92000.0,0,0.0,0.0
36,2019-05-02,92000.0,92300.0,90900.0,91400.0,452510,0.0,0.0
37,2019-05-03,91800.0,91800.0,90400.0,90400.0,621150,0.0,0.0
38,2019-05-06,90000.0,90000.0,88600.0,89000.0,522550,0.0,0.0
39,2019-05-07,89800.0,89800.0,87700.0,87900.0,576290,0.0,0.0
40,2019-05-08,87000.0,87300.0,85400.0,85600.0,894240,0.0,0.0
41,2019-05-09,85000.0,85600.0,83600.0,84500.0,983320,0.0,0.0
42,2019-05-10,85600.0,86000.0,83800.0,84000.0,980260,0.0,0.0
43,2019-05-13,83800.0,85200.0,83800.0,85000.0,691670,0.0,0.0
44,2019-05-14,84000.0,86000.0,84000.0,85000.0,1322520,0.0,0.0
45,2019-05-15,85200.0,86500.0,85200.0,86000.0,1134300,0.0,0.0
46,2019-05-16,86000.0,87100.0,85700.0,87000.0,953330,0.0,0.0
47,2019-05-17,87000.0,87000.0,86300.0,86700.0,791790,0.0,0.0
48,2019-05-20,86500.0,86800.0,85800.0,86800.0,638340,0.0,0.0
49,2019-05-21,87900.0,88100.0,86700.0,86700.0,1056700,0.0,0.0
50,2019-05-22,86200.0,87900.0,86200.0,86500.0,702510,0.0,0.0
51,2019-05-23,86600.0,86600.0,86100.0,86500.0,377180,0.0,0.0
52,2019-05-24,86700.0,86700.0,84500.0,84500.0,854870,0.0,0.0
53,2019-05-28,84400.0,84600.0,83500.0,83500.0,1436600,0.0,0.0
54,2019-05-29,84000.0,84200.0,83400.0,83600.0,921510,0.0,0.0
55,2019-05-30,83600.0,83800.0,82500.0,82600.0,930290,0.0,0.0
56,2019-05-31,83200.0,83200.0,81000.0,82000.0,720930,0.0,0.0
57,2019-06-03,82000.0,82000.0,79600.0,80600.0,527220,0.0,0.0
58,2019-06-04,80500.0,81000.0,78900.0,80600.0,557890,0.0,0.0
59,2019-06-05,81200.0,81500.0,80300.0,80600.0,452630,0.0,0.0
60,2019-06-06,80500.0,80800.0,78900.0,80300.0,582690,0.0,0.0
61,2019-06-07,80500.0,83000.0,79900.0,82200.0,572380,0.0,0.0
62,2019-06-10,83000.0,83000.0,81400.0,82000.0,596360,0.0,0.0
63,2019-06-11,82000.0,82000.0,81300.0,81900.0,375370,0.0,0.0
64,2019-06-12,81500.0,81500.0,79500.0,80000.0,893930,0.0,0.0
65,2019-06-13,79500.0,80000.0,76600.0,80000.0,2022580,0.0,0.0
66,2019-06-14,78800.0,79900.0,78600.0,79900.0,482820,0.0,0.0
67,2019-06-17,79900.0,79900.0,77600.0,78000.0,458320,0.0,0.0
68,2019-06-18,77800.0,78000.0,76300.0,78000.0,1640620,0.0,0.0
69,2019-06-19,78000.0,78300.0,77800.0,78100.0,729570,0.0,0.0
70,2019-06-20,78400.0,78900.0,78000.0,78400.0,1561250,0.0,0.0
71,2019-06-21,78600.0,79300.0,78500.0,78500.0,3742200,0.0,0.0
72,2019-06-24,78600.0,80400.0,78600.0,79500.0,1452270,0.0,0.0
73,2019-06-25,79800.0,80100.0,79500.0,79500.0,866490,0.0,0.0
74,2019-06-26,79300.0,79600.0,78700.0,79000.0,1174210,0.0,0.0
75,2019-06-27,79000.0,79000.0,77500.0,77500.0,815110,0.0,0.0
76,2019-06-28,76600.0,79500.0,76500.0,79300.0,928700,0.0,0.0
77,2019-07-01,79500.0,81000.0,79300.0,81000.0,1090570,0.0,0.0
78,2019-07-02,81000.0,81200.0,80000.0,81100.0,1087630,0.0,0.0
79,2019-07-03,80600.0,82000.0,80100.0,82000.0,1517660,0.0,0.0
80,2019-07-05,82000.0,82000.0,82000.0,82000.0,0,0.0,0.0
81,2019-07-08,82000.0,82000.0,82000.0,82000.0,0,0.0,0.0
82,2019-07-09,82000.0,82000.0,82000.0,82000.0,0,0.0,0.0
83,2019-07-10,82000.0,82000.0,82000.0,82000.0,0,0.0,0.0
84,2019-07-11,82000.0,82000.0,82000.0,82000.0,0,0.0,0.0
85,2019-07-12,82000.0,82000.0,82000.0,82000.0,0,0.0,0.0
86,2019-07-15,82000.0,82000.0,82000.0,82000.0,0,0.0,0.0
87,2019-07-16,82000.0,82000.0,82000.0,82000.0,0,0.0,0.0
88,2019-07-17,83900.0,85500.0,83900.0,84000.0,816530,0.0,0.0
89,2019-07-18,83000.0,84000.0,83000.0,84000.0,513470,0.0,0.0
90,2019-07-19,84000.0,85300.0,83400.0,84500.0,1028110,0.0,0.0
91,2019-07-22,84500.0,84600.0,83800.0,84600.0,471720,0.0,0.0
92,2019-07-23,84600.0,86000.0,84300.0,85800.0,826210,0.0,0.0
93,2019-07-24,86000.0,86700.0,85200.0,85800.0,542990,0.0,0.0
94,2019-07-25,85800.0,85800.0,85800.0,85800.0,0,0.0,0.0
95,2019-07-26,85800.0,85800.0,85800.0,85800.0,0,0.0,0.0
96,2019-07-29,85800.0,85800.0,85800.0,85800.0,0,0.0,0.0
97,2019-07-30,85800.0,85800.0,85800.0,85800.0,0,0.0,0.0
98,2019-07-31,85000.0,89200.0,85000.0,88200.0,991720,0.0,0.0
99,2019-08-01,89000.0,90800.0,88000.0,90500.0,913610,0.0,0.0
100,2019-08-02,88600.0,90200.0,88100.0,90200.0,627380,0.0,0.0
101,2019-08-05,89000.0,90000.0,85200.0,85200.0,902620,0.0,0.0
102,2019-08-06,85200.0,85200.0,85200.0,85200.0,0,0.0,0.0
103,2019-08-07,85000.0,85300.0,83300.0,84000.0,724520,0.0,0.0
104,2019-08-08,84000.0,85500.0,82700.0,84500.0,556040,0.0,0.0
105,2019-08-09,84500.0,84500.0,84500.0,84500.0,0,0.0,0.0
106,2019-08-12,83400.0,84300.0,83300.0,84200.0,229140,0.0,0.0
107,2019-08-13,84000.0,84000.0,82100.0,82900.0,723240,0.0,0.0
108,2019-08-14,83500.0,84400.0,83000.0,83000.0,487320,0.0,0.0
109,2019-08-15,82000.0,84000.0,81000.0,84000.0,368870,0.0,0.0
110,2019-08-16,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
111,2019-08-19,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
112,2019-08-20,84000.0,84000.0,84000.0,84000.0,0,0.0,0.0
113,2019-08-21,86600.0,88000.0,86400.0,87300.0,548090,0.0,0.0
114,2019-08-22,87500.0,87900.0,86800.0,87900.0,380330,0.0,0.0
115,2019-08-23,88000.0,88000.0,87000.0,87000.0,582580,0.0,0.0
116,2019-08-26,85000.0,86200.0,85000.0,85900.0,375290,0.0,0.0
117,2019-08-27,85900.0,87900.0,85900.0,86600.0,871250,0.0,0.0
118,2019-08-28,86000.0,87500.0,86000.0,86800.0,297410,0.0,0.0
119,2019-08-29,86800.0,87000.0,85300.0,86800.0,344570,0.0,0.0
120,2019-08-30,86800.0,86800.0,86800.0,86800.0,0,0.0,0.0
121,2019-09-03,87800.0,87900.0,87200.0,87600.0,243420,0.0,0.0
122,2019-09-04,87700.0,89200.0,87200.0,89000.0,862730,0.0,0.0
123,2019-09-05,89000.0,89600.0,88600.0,89000.0,429760,0.0,0.0
124,2019-09-06,89000.0,89000.0,88000.0,88800.0,243750,0.0,0.0
125,2019-09-09,88800.0,88800.0,87900.0,88400.0,336920,0.0,0.0
126,2019-09-10,88400.0,88500.0,87300.0,88000.0,317650,0.0,0.0
127,2019-09-11,87500.0,87800.0,85800.0,86300.0,549770,0.0,0.0
128,2019-09-12,87400.0,87400.0,86300.0,86900.0,289830,0.0,0.0
129,2019-09-13,87400.0,88000.0,86100.0,88000.0,361780,0.0,0.0
130,2019-09-16,87100.0,88900.0,87100.0,88500.0,563460,0.0,0.0
131,2019-09-17,88500.0,90500.0,88400.0,90300.0,921810,0.0,0.0
