Date,High,Low,Close,Volume,RSI,MFI,EMA,SO,MACD,Next Day Price
2019-04-01,90.78350067138672,89.9365005493164,90.70950317382812,84776000,73.88362875929363,80.33707199398474,88.10959894781529,93.37954646321617,86.4630690326119,90.6989974975586
2019-04-02,91.0,90.25599670410156,90.6989974975586,68962000,72.16324217525174,75.25755656136451,88.45485208778106,92.99185562756324,86.74033203302304,91.03500366210938
2019-04-03,91.5,90.4810028076172,91.03500366210938,78522000,74.01429638764714,79.69739287258085,88.7988722976915,93.20528299615046,87.09282363197555,90.94300079345705
2019-04-04,91.4375,90.20999908447266,90.94300079345705,72478000,70.82518527447604,73.02825201027989,89.0847560971269,90.50866099147706,87.38882235370578,91.86399841308594
2019-04-05,91.9290008544922,91.2594985961914,91.86399841308594,72810000,69.46751334276772,72.38600981539726,89.45532173925477,98.60059458305244,87.83255770250992,92.49299621582033
2019-04-08,92.51000213623048,91.25550079345705,92.49299621582033,75056000,68.5510555905776,71.30753884531686,89.86034500279685,99.6745904642889,88.21866972591008,91.79199981689452
2019-04-09,92.65450286865234,91.58899688720705,91.79199981689452,74288000,58.93609138448391,63.71432956723585,90.11789897800988,83.94000480166129,88.38527454448528,92.3665008544922
2019-04-10,92.4000015258789,91.44049835205078,92.3665008544922,59280000,56.83601878827521,61.93382723465961,90.41771256154085,94.63733959538214,88.72142006322161,92.20349884033205
2019-04-11,92.49749755859376,92.0155029296875,92.20349884033205,53096000,75.73332805165477,66.13012224454525,90.65581739871301,91.60220649133525,88.94717155041789,92.15299987792967
2019-04-12,92.5749969482422,92.06500244140624,92.15299987792967,62288000,73.62634483539162,58.6621605260603,90.85544172927524,90.66190478219892,89.19094356686037,92.24349975585938
2019-04-15,92.34249877929688,90.94499969482422,92.24349975585938,74488000,72.15570121087637,57.80877593804054,91.04051613281979,92.34703227483688,89.45083217241505,93.1520004272461
2019-04-16,93.4885025024414,92.4000015258789,93.1520004272461,60892000,85.26293794892105,65.54355584081553,91.32204737207663,94.21320835913637,89.83711015584458,93.24099731445312
2019-04-17,93.82350158691406,93.02200317382812,93.24099731445312,57870000,84.6001795284428,65.55217419230769,91.5779073643935,88.33125481421708,90.10086915190422,93.08450317382812
2019-04-18,93.54100036621094,92.9739990234375,93.08450317382812,54998000,81.64686931360517,59.3601239256563,91.77878680565145,80.9879543139337,90.33327575050477,94.3655014038086
2019-04-22,94.4209976196289,92.28199768066406,94.3655014038086,67476000,80.4514345629583,58.721894160552516,92.12368208540573,98.68211267809778,90.77109733117612,96.1884994506836
2019-04-23,96.46299743652344,94.47899627685548,96.1884994506836,92808000,85.1193683667967,67.01348949612947,92.66565773410946,95.61013820274209,91.27999241405652,95.0875015258789
2019-04-24,96.4844970703125,94.90799713134766,95.0875015258789,73516000,73.61462698537579,59.02229591626835,92.98857023967872,77.73534157495462,91.35035008529891,95.1125030517578
2019-04-25,96.12249755859376,95.0155029296875,95.1125030517578,121982000,74.48764606198301,68.28819266423592,93.27176128128927,75.2325179424105,91.60774751346702,97.53150177001952
2019-04-26,97.5500030517578,94.9000015258789,97.53150177001952,168652000,78.3050162891269,71.2505974596759,93.83972667978664,99.7198898965152,92.22086908998631,96.92150115966795
2019-04-29,97.81700134277344,96.70449829101562,96.92150115966795,80426000,72.15917723814326,63.9836755100657,94.25062994377082,86.96885959896818,92.37101098482677,96.32599639892578
2019-04-30,96.7854995727539,95.34750366210938,96.32599639892578,70120000,72.9290968186013,64.04104833547933,94.52734547112482,78.30319286531879,92.54531473292464,95.57599639892578
2019-05-01,97.18199920654295,95.52749633789062,95.57599639892578,62340000,65.94781603914129,58.485911409843055,94.66716559483162,67.38934216471806,92.70431304749926,95.04100036621094
2019-05-02,96.07749938964844,94.09349822998048,95.04100036621094,79258000,63.59674745863208,57.04458025372359,94.71701023101554,59.60418639610003,92.89829688105455,98.1230010986328
2019-05-03,98.22000122070312,96.8000030517578,98.1230010986328,127632000,72.1669629815968,64.63608703518557,95.17114234669783,98.6666652683814,93.63059409806138,97.52749633789062
2019-05-06,97.9499969482422,95.5250015258789,97.52749633789062,108356000,68.91059771538546,56.79000703916744,95.48532287885688,88.3377489059573,93.8016867159056,96.0500030517578
2019-05-07,97.45500183105467,95.16899871826172,96.0500030517578,118042000,59.965630960470335,49.56282520908012,95.56061356857701,63.45576161561111,93.85270695035469,95.88849639892578
2019-05-08,96.76850128173828,95.5,95.88849639892578,81572000,59.05902451274981,44.29921472462095,95.60433127929018,60.73588023219659,94.10525621803771,94.99349975585938
2019-05-09,95.47000122070312,93.8000030517578,94.99349975585938,106166000,56.217825679419285,42.62414019261678,95.52288707616609,45.66353079637058,94.23888611728498,94.4990005493164
2019-05-10,95.1894989013672,92.8000030517578,94.4990005493164,114360000,50.45830325647277,36.53417113979056,95.38636887258613,31.346827888121126,94.41125722087034,91.13400268554688
2019-05-13,92.3270034790039,90.9000015258789,91.13400268554688,115668000,34.30913864784935,29.579255239700572,94.81938671431423,3.196737287208152,94.10889461970059,92.00599670410156
2019-05-14,92.62200164794922,90.7874984741211,92.00599670410156,92582000,40.29599802027295,35.41685799114639,94.44426804628588,16.394184725203324,94.40953779231472,93.55750274658205
2019-05-15,93.72149658203124,91.1500015258789,93.55750274658205,93852000,45.532635126515906,34.0175727358597,94.32603267299204,37.26879581356075,94.7518871668594,95.37850189208984
