Date,Close,Volume,Capital Gains,RSI,MFI,EMA,SO,MACD,Next Day Price
2019-04-01,41636.3984375,360250,0.0,41.251182940308915,38.12552745261988,41361.02339334765,64.00308691310408,41798.701160753466,41818.19921875
2019-04-02,41818.19921875,1489928,0.0,47.43624631337497,50.618780779784274,41421.98017006796,72.00242002987224,41760.968851038415,42909.1015625
2019-04-03,42909.1015625,1137510,0.0,59.4053753267262,53.08402374753039,41620.26302239223,100.0,41864.40502897288,43454.5
2019-04-04,43454.5,1887743,0.0,66.6660035695842,65.6324495603216,41864.827952739935,89.99836720312638,41894.04217745358,43454.5
2019-04-05,43454.5,676720,0.0,65.38405603096379,64.47635244668056,42076.78422570795,89.99836720312638,41857.41186846324,43454.5
2019-04-08,43454.5,497926,0.0,72.33899780222995,71.83463988943521,42260.479662280224,89.99836720312638,41843.69504511606,43000.0
2019-04-09,43000.0,1112848,0.0,68.68669156830865,70.0610616208846,42359.0823739762,72.0933439522588,41783.808305593644,42636.3984375
2019-04-10,42636.3984375,804210,0.0,68.00060500746807,70.5101654411111,42396.05784911271,62.79192468690324,41759.6326191881,42727.30078125
2019-04-11,42727.30078125,395901,0.0,69.30818680360265,76.27055467591018,42440.22357339768,65.11732946681869,41818.90252343525,43818.19921875
2019-04-12,43818.19921875,962599,0.0,83.92980598429305,82.81331504914003,42623.953659444654,92.50084325364854,42043.55253853971,43818.19921875
2019-04-15,43818.19921875,0,0.0,82.85837290654828,82.17242351939393,42783.186400685365,92.00083874833997,42115.75103253304,43545.5
2019-04-16,43545.5,997700,0.0,77.35988415836447,73.76145400499111,42884.828213927314,84.00167749667995,42164.892989045984,44090.8984375
2019-04-17,44090.8984375,2155483,0.0,79.13141799789554,77.47401108660141,43045.637577070345,76.19030568034056,42350.92995248569,44090.8984375
2019-04-18,44090.8984375,1073523,0.0,77.77911286741711,78.51542229510646,43185.0056917943,74.99994628957653,42461.867009168156,43545.5
2019-04-22,43545.5,908699,0.0,68.4222866206697,72.8889834080043,43233.07159955506,56.75766071059435,42499.38408155685,43545.5
