Date,Open,High,Low,Close,Volume,Capital Gains,RSI,MFI,EMA,SO,MACD,Next Day Price
2019-04-01,94.48725073169048,94.51400646244134,94.23752150520096,94.28211212158205,2078800,0.0,66.11144991614607,58.85623012397486,94.31845551987655,49.61675211751982,93.99323819078263,94.3445281982422
2019-04-02,94.32669331568007,94.38020476797632,94.29993758953196,94.3445281982422,1122300,0.0,66.85122010327507,61.11765695824333,94.32193187699197,55.0555185673282,94.04186837591354,94.26426696777344
2019-04-03,94.2910226956098,94.5675076227328,94.25534612362452,94.26426696777344,1378800,0.0,66.12577561011561,57.519440352451184,94.3142432224295,44.62652728721239,94.06907093877865,94.3445281982422
2019-04-04,94.28209590235994,94.3445281982422,94.25534017621185,94.3445281982422,607400,0.0,64.40756778749751,55.381341075929406,94.31828121920452,48.690823231213464,94.11940621311041,94.45156860351562
2019-04-05,94.36238057138526,94.46940348809744,94.36238057138526,94.45156860351562,738100,0.0,66.49537887734249,56.27560243734327,94.33605287044601,58.97610227050748,94.17209682641389,94.3713150024414
2019-04-08,94.45158901193123,94.47834474689046,94.3713150024414,94.3713150024414,490400,0.0,64.4332811989149,56.830698462166666,94.3407544880454,48.628053039644236,94.19626355642312,94.42481231689452
2019-04-09,94.43372635682746,94.4783237749347,94.38021489878729,94.42481231689452,4388500,0.0,59.65549730872896,66.76442626388875,94.35196219855862,41.01838234697634,94.23869475772979,94.56749725341795
2019-04-10,94.48723007871013,94.58533893975944,94.46938839236869,94.56749725341795,805800,0.0,62.30732493023397,67.15659684184783,94.38070020587321,52.98294911184017,94.29185167475742,94.4872589111328
2019-04-11,94.52293549009272,94.54969122315975,94.4872589111328,94.4872589111328,1645500,0.0,50.3385585752713,59.4546638151753,94.39490803324117,40.09938409506453,94.30683585710965,94.29995727539062
2019-04-12,94.43373593405856,94.46049847040346,94.29103642994232,94.29995727539062,1053600,0.0,41.43592654153306,54.16546055140305,94.38224793219442,10.025073820098465,94.3022491818,94.3713150024414
