Date,Close,Volume,RSI,MFI,EMA,SO,MACD,Next Day Price
2019-04-01,92400.0,334480,50.23696682464455,46.91685764854868,91671.45855948741,57.647058823529406,92340.12355928858,92200.0
2019-04-02,92200.0,359690,45.40816326530612,38.60237668118872,91741.93075155574,61.038961038961034,92241.60708471677,92000.0
2019-04-03,92000.0,281350,44.94949494949495,34.159414061717584,91776.33998468165,58.44155844155844,92137.11502897675,92000.0
2019-04-04,92000.0,489550,46.596858638743456,45.601085828788335,91806.16132005744,58.44155844155844,92062.16635844651,92600.0
2019-04-05,92600.0,454260,45.45454545454546,42.10466705131812,91912.00647738313,66.23376623376623,92065.48862176476,94600.0
2019-04-08,94600.0,657320,51.470588235294116,51.397269414119805,92270.40561373204,100.0,92271.47902775166,93800.0
2019-04-09,93800.0,973210,54.123711340206185,51.77095646472666,92474.3515319011,74.11764705882354,92073.78182405146,92500.0
2019-04-10,92500.0,328400,62.874251497005986,55.723135796295146,92477.77132764763,58.82352941176471,91871.88869195571,93500.0
2019-04-11,93500.0,233360,58.10810810810811,51.77917658693361,92614.06848396128,70.58823529411765,92041.4146441394,93300.0
2019-04-12,93300.0,299590,66.66666666666666,55.005520051991255,92705.5260194331,58.46153846153847,92061.39269158748,93300.0
2019-04-15,93300.0,0,64.16666666666666,51.00583201514639,92784.78921684202,55.73770491803278,92138.70699937582,91000.0
2019-04-16,91000.0,913790,53.19148936170213,42.19667720981139,92546.81732126308,39.02439024390244,91890.93495501459,89800.0
2019-04-17,89800.0,761350,36.58536585365854,30.568369894682945,92180.57501176134,24.390243902439025,91797.08807212376,89000.0
2019-04-18,89000.0,609680,39.130434782608695,32.70251438659447,91756.4983435265,14.634146341463413,91747.03188472948,90000.0
2019-04-22,90000.0,211620,39.655172413793096,31.361300195443448,91522.29856438964,26.82926829268293,91933.09430009889,89000.0
2019-04-23,89000.0,494910,37.09677419354839,30.807048419877617,91185.9920891377,14.634146341463413,91784.12617119681,89700.0
2019-04-24,89700.0,629420,41.08527131782945,38.09512209991682,90987.859810586,23.170731707317074,91871.13157059281,90200.0
2019-04-25,90200.0,680080,43.28358208955223,39.60072040308483,90882.8118358412,29.268292682926827,91902.20291673599,92000.0
2019-04-26,92000.0,1070350,47.945205479452056,44.28215143306884,91031.77025772905,51.21951219512195,92106.74252783785,92000.0
2019-04-29,92000.0,0,39.682539682539684,39.03709685307156,91160.86755669852,51.21951219512195,92008.45463523724,92000.0
2019-04-30,92000.0,0,42.37288135593221,45.3824815753445,91272.75188247206,70.0,91906.2717949834,92000.0
2019-05-01,92000.0,0,47.61904761904762,47.974822497710186,91369.71829814246,70.0,91812.99111120784,91400.0
2019-05-02,91400.0,452510,39.6039603960396,42.341998834357526,91373.75585839014,62.06896551724138,91627.981185269,90400.0
2019-05-03,90400.0,621150,36.69724770642201,40.26260452443363,91243.92174393812,47.27272727272727,91383.36147167759,89000.0
2019-05-06,89000.0,522550,32.52032520325203,37.27793209044791,90944.7321780797,26.666666666666668,91073.41327545392,87900.0
2019-05-07,87900.0,576290,36.036036036036045,39.24209130885258,90538.76788766908,4.3478260869565215,90816.12483872673,85600.0
2019-05-08,85600.0,894240,32.786885245901644,38.71595023593826,89880.26550264654,2.898550724637681,90383.58597134094,84500.0
2019-05-09,84500.0,983320,32.0,36.9594608416432,89162.89676896035,10.344827586206897,90132.33006405104,84000.0
2019-05-10,84000.0,980260,25.0,30.858625818288246,88474.51053309898,4.597701149425287,89941.01938884423,85000.0
2019-05-13,85000.0,691670,33.33333333333333,38.45508762235911,88011.24246201912,16.091954022988507,89947.71680366503,85000.0
2019-05-14,85000.0,1322520,29.203539823008853,42.92843593994229,87609.74346708323,16.091954022988507,89769.6878965097,86000.0
2019-05-15,86000.0,1134300,32.203389830508485,45.5012191757392,87395.11100480547,27.586206896551722,89716.28506586395,87000.0
2019-05-16,87000.0,953330,27.272727272727266,44.45442413088384,87342.42953749807,39.08045977011494,89623.89150152654,86700.0
2019-05-17,86700.0,791790,26.54867256637168,40.89954263494174,87256.77226583166,35.63218390804598,89312.15041243412,86800.0
2019-05-20,86800.0,638340,27.192982456140356,44.4711792017559,87195.8692970541,36.7816091954023,89048.75257966513,86700.0
2019-05-21,86700.0,1056700,26.956521739130437,40.39711269486441,87129.75339078023,35.63218390804598,88742.41890237645,86500.0
2019-05-22,86500.0,702510,27.927927927927925,39.6244736656106,87045.78627200953,35.36585365853659,88416.48527094847,86500.0
2019-05-23,86500.0,377180,30.693069306930695,43.823521164857546,86973.01476907493,45.3125,88125.0650125998,84500.0
2019-05-24,84500.0,854870,28.971962616822438,42.703788148497146,86643.27946653162,14.516129032258066,87548.88967758649,83500.0
2019-05-28,83500.0,1436600,29.245283018867923,39.998132677057086,86224.17553766073,0.0,87146.31549835273,83600.0
2019-05-29,83600.0,921510,38.095238095238095,47.02521257324825,85874.28546597264,4.25531914893617,86932.02898746126,82600.0
2019-05-30,82600.0,930290,38.554216867469876,47.28263677252065,85437.71407050962,1.7857142857142856,86573.86956691087,82000.0
2019-05-31,82000.0,720930,38.095238095238095,48.335420661248826,84979.35219444167,14.084507042253522,86299.68695798943,80600.0
2019-06-03,80600.0,527220,25.0,43.500848226216526,84395.43856851613,11.76470588235294,85907.39536359083,80600.0
2019-06-04,80600.0,557890,25.0,39.61295725010096,83889.38009271398,18.478260869565215,85721.07598177873,80600.0
2019-06-05,80600.0,452630,15.384615384615387,35.630147445382136,83450.79608035213,18.478260869565215,85508.59918420824,80300.0
2019-06-06,80300.0,582690,2.81690140845069,27.76520890187699,83030.68993630518,15.217391304347828,85219.00818186937,82200.0
2019-06-07,82200.0,572380,24.13793103448276,33.872926813982545,82919.93127813116,35.869565217391305,85234.41820206457,82000.0
2019-06-10,82000.0,596360,22.727272727272734,27.690999172624828,82797.27377438033,33.69565217391305,84909.38466401152,81900.0
2019-06-11,81900.0,375370,22.727272727272734,29.824296197864015,82677.63727112963,33.33333333333333,84596.1889310322,80000.0
2019-06-12,80000.0,893930,19.04761904761905,29.42618658079745,82320.61896831235,14.102564102564102,84010.25262911682,80000.0
2019-06-13,80000.0,2022580,19.04761904761905,39.00570578161164,82011.2031058707,33.663366336633665,83705.99672301234,79900.0
2019-06-14,79900.0,482820,23.25581395348837,40.49974773262386,81729.70935842127,41.25,83384.80827105515,78000.0
2019-06-17,78000.0,458320,21.05263157894737,44.69346863539179,81232.41477729844,18.421052631578945,82801.38939047002,78000.0
2019-06-18,78000.0,1640620,20.21276595744682,47.8790160581797,80801.42614032532,22.666666666666664,82507.81524951848,78100.0
2019-06-19,78100.0,729570,23.529411764705884,55.75858944848882,80441.23598828194,26.08695652173913,82224.93988291602,78400.0
